match_id,venue,batting_team,bowling_team,total_runs,avg_runs,max_runs,wickets,deliveries
202240,"Wankhede Stadium, Mumbai",SRH,GT,181,1.4365079365079365,6,6,6
202241,"Wankhede Stadium, Mumbai",DC,KKR,144,1.2307692307692308,6,6,6
202241,"Wankhede Stadium, Mumbai",KKR,DC,137,1.1048387096774193,6,9,9
202242,"Maharashtra Cricket Association Stadium, Pune",LSG,PBKS,141,1.1370967741935485,6,8,8
202242,"Maharashtra Cricket Association Stadium, Pune",PBKS,LSG,118,0.9147286821705426,6,8,8
202243,"Brabourne Stadium, Mumbai",GT,RCB,165,1.3524590163934427,6,4,4
202243,"Brabourne Stadium, Mumbai",RCB,GT,163,1.3360655737704918,6,6,6
202244,"Dr DY Patil Sports Academy, Mumbai",MI,RR,150,1.25,6,5,5
202244,"Dr DY Patil Sports Academy, Mumbai",RR,MI,146,1.1496062992125984,6,6,6
202245,"Wankhede Stadium, Mumbai",DC,LSG,186,1.5121951219512195,6,7,7
202245,"Wankhede Stadium, Mumbai",LSG,DC,178,1.3484848484848484,6,3,3
202246,"Maharashtra Cricket Association Stadium, Pune",CSK,SRH,193,1.5691056910569106,6,2,2
202246,"Maharashtra Cricket Association Stadium, Pune",SRH,CSK,184,1.4959349593495934,6,6,6
202247,"Wankhede Stadium, Mumbai",KKR,RR,143,1.153225806451613,6,3,3
202247,"Wankhede Stadium, Mumbai",RR,KKR,143,1.125984251968504,6,5,5
202248,"Dr DY Patil Sports Academy, Mumbai",GT,PBKS,129,1.0,6,8,8
202248,"Dr DY Patil Sports Academy, Mumbai",PBKS,GT,133,1.33,6,2,2
202249,"Maharashtra Cricket Association Stadium, Pune",CSK,RCB,156,1.3,6,8,8
202249,"Maharashtra Cricket Association Stadium, Pune",RCB,CSK,161,1.2677165354330708,6,8,8
202250,"Brabourne Stadium, Mumbai",DC,SRH,195,1.5354330708661417,6,3,3
202250,"Brabourne Stadium, Mumbai",SRH,DC,175,1.3888888888888888,6,8,8
202251,"Brabourne Stadium, Mumbai",GT,MI,168,1.3884297520661157,6,5,5
202251,"Brabourne Stadium, Mumbai",MI,GT,170,1.36,6,5,6
202252,"Wankhede Stadium, Mumbai",PBKS,RR,175,1.3358778625954197,6,5,5
202252,"Wankhede Stadium, Mumbai",RR,PBKS,183,1.4758064516129032,6,4,4
202253,"Maharashtra Cricket Association Stadium, Pune",KKR,LSG,98,1.101123595505618,6,10,10
202253,"Maharashtra Cricket Association Stadium, Pune",LSG,KKR,172,1.4098360655737705,6,7,7
202254,"Wankhede Stadium, Mumbai",RCB,SRH,184,1.4603174603174602,6,3,3
202254,"Wankhede Stadium, Mumbai",SRH,RCB,118,0.9833333333333333,6,10,10
202255,"Dr DY Patil Sports Academy, Mumbai",CSK,DC,196,1.4961832061068703,6,6,6
